SMILES;FSP3;LogP;Molecular Weight;Number of Rotatable Bonds;Polar Surface Area;Solubility in Water (mg/L);AmpC β-lactamase aggregation;Cysteine protease cruzain aggregation;Firefly Luciferase interference;Nano Luciferase interference;Redox interference;Thiol interference;AmpC β-lactamase aggregation_prob;Cysteine protease cruzain aggregation_prob;Firefly Luciferase interference_prob;Nano Luciferase interference_prob;Redox interference_prob;Thiol interference_prob;AmpC β-lactamase aggregation_AD;Cysteine protease cruzain aggregation_AD;Firefly Luciferase interference_AD;Nano Luciferase interference_AD;Redox interference_AD;Thiol interference_AD;OverallScore;StoplightColor;ConsensusAssayScore
O=C1NC(C=CN1[C@@H]2O[C@@](CO)(F)[C@@H](O)[C@H]2O)=O;0.56;-2.55;262.19;2;124.78;3871.78;0;0;0;0;0;0;0.9793;0.966;0.9987;0.9957;0.999;0.9058;NA;NA;NA;NA;NA;NA;0.083333333;yellow;0.025916667
O=C(NC(S1)=C(C#N)C2=C1CC(C)(C)N(CC3CCCCC3)C2)CC4=CC=C(S(=O)(N)=O)C=C4;0.52;4.17;500.69;6;116.29;115.48;0;0;0;0;0;0;0.9284;0.7943;0.9995;0.9706;0.9986;0.959;NA;NA;NA;NA;NA;NA;0.333333333;yellow;0.058266667
Nc1ncnc2c1ncn2[C@@H]1O[C@H](C[C@@H](N)CC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O;0.6;-2.06;381.39;7;208.65;1353.8;0;0;0;0;0;0;0.9866;0.9744;0.9991;0.9998;0.9963;0.9258;NA;NA;NA;NA;NA;NA;0.25;yellow;0.019666667
CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12;0.5;3.78;335.88;9;48.39;18.85;0;0;0;0;0;0;0.8518;0.9582;0.9999;0.9996;0.9988;0.9862;NA;NA;NA;NA;NA;NA;0.333333333;yellow;0.03425
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O;0.25;5.18;355.87;6;48.39;0.46;0;0;0;0;0;0;0.9198;0.7957;0.9994;0.9993;0.9324;0.7518;NA;NA;NA;NA;NA;NA;0.416666667;yellow;0.100266667
CCCOc1cc([C@]2(C)CNC(=O)O2)ccc1OC;0.5;2.44;265.31;5;56.79;2386.65;0;0;0;0;0;0;0.9486;0.9391;0.9965;0.9948;0.9974;0.9116;NA;NA;NA;NA;NA;NA;0.083333333;yellow;0.035333333
COCCOc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1;0.36;2.16;503.57;9;125;40.54;0;0;0;0;0;0;0.5511;0.9543;0.9658;0.9999;0.9968;0.96;NA;NA;NA;NA;NA;NA;0.5;yellow;0.09535
O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21;0;1.69;330.21;2;160.88;0.46;0;0;0;0;0;1;0.994;0.9788;0.9887;0.9933;0.9854;0.7859;NA;NA;NA;NA;NA;NA;0.583333333;yellow;0.14095
CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C;0.86;2.25;822.94;7;267.04;40.13;0;1;0;0;0;0;0.8011;0.725;0.9932;0.9998;0.9996;0.9605;NA;NA;NA;NA;NA;NA;0.666666667;yellow;0.1618
O=C(N[C@@H](Cc1ccc(O)cc1)C(=O)O)c1cc(-c2ccccc2)c(=O)n2c1sc1ccc(OC3CCCCC3)cc12;0.24;6.02;582.68;8;117.34;0.06;0;0;0;0;0;0;0.7683;0.5726;0.9981;0.9969;0.9998;0.9152;NA;NA;NA;NA;NA;NA;0.666666667;yellow;0.12485
